message_id,action,message_type,reason,confidence,evidence_message_ids
msg_020,mute,scam,"The message contains a suspicious shortlink requesting account verification from an untrusted context, matching historical ignored spam patterns.",0.92,message_0095;message_0096
msg_017,digest,business_update,Routine payment or clearance notification in a marketplace group with low user engagement and historical ignore patterns.,0.82,message_0090;message_0089
msg_058,mute,forward,Highly forwarded chain message exhibiting typical spam or blessing patterns.,0.83,none
msg_026,mute,scam,High risk: Unverified business using a mismatched domain with a high report count.,0.85,none
msg_047,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_046,mute,scam,Suspicious request for credentials/OTP with fake urgency from an unverified sender.,0.83,none
msg_042,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_079,mute,scam,"The message demands immediate OTP sharing and threatens account blocking, which are hallmark tactics of credential phishing.",0.94,message_0213;message_0196;message_0174
msg_098,notify,urgent,Urgent time-sensitive decision regarding a medical appointment from a trusted sender.,0.88,message_0359;message_0168;message_0226
msg_037,notify,urgent,Time-sensitive water tanker update from society admin requiring immediate action despite past ignore history for general updates.,0.88,message_0029;message_0129;message_0215
msg_007,digest,event,"Non-urgent society event update from an admin where responses are explicitly requested not to be in the thread, aligning with historical ignore patterns.",0.86,message_0070;message_0069
msg_085,mute,scam,High risk: Unverified business using a mismatched domain with a high report count.,0.85,none
msg_001,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_021,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_028,mute,promotion,The user explicitly opted out of promotional messages from this business.,0.9,none
msg_012,mute,forward,Highly forwarded chain message exhibiting typical spam or blessing patterns.,0.83,none
msg_064,digest,payment,"Marketplace refund notification involving account details, but the user has historically ignored similar non-urgent notifications, making digest appropriate.",0.84,message_0202;message_0184;message_0201
msg_103,notify,personal,Time-sensitive personal message from a trusted sender regarding holding an item with a specific deadline.,0.88,none
msg_031,digest,business_update,"Work-related reminder about an evening sync from a group admin, categorized as non-urgent digest despite past ignored history since it involves operational prep.",0.81,message_0118;message_0055;message_0227
msg_057,notify,personal,Direct mention requiring immediate user attention or action.,0.85,none
msg_087,digest,event,"Message from a trusted group sender in a real estate context, but the user historically ignores similar messages, making it suitable for a digest.",0.85,message_0391;message_0223;message_0164
msg_067,digest,event,"Routine maintenance payment reminder from a society group, safe but not urgent enough to interrupt immediately, matching past ignore patterns for general society updates.",0.85,message_0029;message_0129;message_0215
msg_039,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_082,digest,business_update,"Group message from a coworker sender categorized as a routine update, historically ignored by the user.",0.85,message_0218;message_0380;message_0397
msg_066,mute,promotion,The user explicitly opted out of promotional messages from this business.,0.9,none
msg_049,digest,business_update,"A logistical update from a business regarding a delivery pickup, informative and safe, but not requiring immediate interruption based on user engagement patterns.",0.85,message_0153;message_0291;message_0154
msg_015,mute,scam,Suspicious request for credentials/OTP with fake urgency from an unverified sender.,0.83,none
msg_051,mute,promotion,The user explicitly opted out of promotional messages from this business.,0.9,none
msg_097,digest,personal,"Personal message indicating nothing urgent and that the sender is busy, allowing it to be read later based on historical user reaction patterns.",0.85,message_0359;message_0168;message_0226
msg_089,notify,event,Time-sensitive alert regarding a lost personal item with a strict pickup deadline today.,0.88,none
msg_053,digest,business_update,"Informational market note from a known sender in an investment group. User historically ignores similar research updates during trading hours, making it suitable for a digest.",0.86,message_0253;message_0161;message_0162
msg_059,mute,scam,"The message asks for sensitive account details with a false sense of urgency, matching phishing patterns, and the user historically ignores similar messages.",0.92,message_0213;message_0196;message_0174
msg_024,mute,promotion,The user explicitly opted out of promotional messages from this business.,0.9,none
msg_072,mute,scam,"Suspicious message demanding OTP and credential verification via an unverified external link with fake urgency, matching ignored historical patterns.",0.92,message_0199;message_0200;message_0085
msg_036,mute,scam,High risk: Unverified business using a mismatched domain with a high report count.,0.85,none
msg_076,mute,scam,High risk: Unverified business using a mismatched domain with a high report count.,0.85,none
msg_055,notify,urgent,Time-sensitive personal request from a known family member requiring an immediate decision.,0.85,message_0166;message_0387;message_0165
msg_102,notify,urgent,Important production deployment update from a trusted sender requiring monitoring attention.,0.88,none
msg_080,notify,urgent,"Time-sensitive society gate update from a trusted admin regarding moving cars, requiring immediate interruption to avoid towing.",0.88,none
msg_093,digest,business_update,"Logistics delivery notification with low trust sender and no prior history, appropriate for digest review rather than immediate interruption.",0.81,none
msg_034,mute,forward,Highly forwarded chain message exhibiting typical spam or blessing patterns.,0.83,none
msg_035,digest,promotion,"B2B promotional message from a business the user has historically ignored, suitable for delayed reading without immediate interruption.",0.85,message_0281;message_0125;message_0126
msg_101,digest,personal,"Personal check-in from a known sender with explicit instruction that no reply is needed, making it suitable for digest reading.",0.85,message_0268;message_0370;message_0229
msg_041,digest,business_update,"The message is a survey request from an unknown business sender. Based on historical reaction patterns where the user ignored similar past survey messages, this is suitable for later reading.",0.84,message_0138;message_0137
msg_011,digest,forward,"Harmless family forward with positive greetings; user historically ignores these, so it should go to digest rather than notifying.",0.88,message_0123;message_0241;message_0078
msg_110,mute,scam,Detected adversarial prompt injection attempt in message content.,0.95,none
msg_095,mute,scam,Detected adversarial prompt injection attempt in message content.,0.95,none
msg_074,digest,promotion,"Real estate promotion message sent to a group chat, which the user historically ignores based on past engagement patterns.",0.85,message_0223;message_0164;message_0163
msg_073,digest,promotion,"Routine marketplace security reminder from a sender in a marketplace group, historically ignored by the user.",0.81,message_0202;message_0184;message_0201
msg_054,mute,scam,"Unsolicited loan approval message requesting a processing fee, which exhibits classic scam patterns. The user historically ignores such messages.",0.91,message_0223;message_0164;message_0163
msg_068,digest,event,"Casual group planning message about a post-match discussion with no immediate urgency, matching historical ignored group chatter.",0.85,message_0191;message_0192
msg_100,notify,urgent,Time-sensitive escalation alert from a trusted sender regarding system payment failures and impending client escalation.,0.88,none
msg_062,digest,event,"Routine informational update about a scheduled building test from a society admin, suitable for delayed review despite past ignoral patterns.",0.82,message_0043;message_0029;message_0129
msg_096,notify,personal,"Important notification from someone claiming to be at the building reception regarding a lost passport, requiring time-sensitive attention before 18h.",0.88,none
msg_043,notify,urgent,Time-sensitive update from a recognized group admin.,0.87,none
msg_077,digest,event,"Informational school circular with instructions regarding a field trip from a trusted school group admin, appropriate for later reading.",0.85,message_0403;message_0209;message_0133
msg_081,digest,event,"School group admin message with no direct mention; user historically ignores similar updates, making it suitable for digest.",0.85,message_0217
msg_025,digest,business_update,Business order update from an unverified sender with whom the user is opted out and historically ignores similar messages.,0.85,message_0239;message_0004;message_0105
msg_084,mute,promotion,The user is opted out of business communications and has historically ignored similar messages.,0.89,message_0220
msg_022,digest,payment,Routine payment reminder in a society group where the user historically ignores similar messages.,0.81,message_0099;message_0100
